input,output
c(((0/+c-12)(0b1(+-2ab0a/2-c+c(/21*0*bc1c/)-21c)(a/*)ca//cb(aa10+0--a20(-0b)0(cba)(++)()c+-b)22-c0)b2+)(c)-c/)b))c12cb*a/)(((-b+2ca(((0b+a1/ccb++ca*(*+c(b*+c0)+acaa/(*bba)/(+-1-a(-2c+0+20)()(02b)(1//)(a+/ca)c0aa)*1-+21(c(+bb(1ca)/2))12)02)c+ab/(a20(bc+a0-*++1cb-0b)))*(2200a(2bb+2(c2)c(b--00b0(*0)00c*/(1b2()cc211(*-)a+1b1c/0c(/c+((0aa022*b2a*c1)+b(c/bbb02b*2*c)1+2)-)b--0*bb11)(c2(a()/-*ca)11a-c/b2/(a1--c(+10/20)*0121a(caa/+)0(ac)-a-/0)b-2)0/2c/0(b1,incorrect
2)-*)a/)a1(c2+c10))/+11*c22)+2b)0bc/1++1)a/*0((0/c22(2a+1/+0/bab/a(+c-(c0)c0(b+()b*0-c20((b2((2*0/)ac1)+acbc)bb*1--(c)-cb)((+)-c/()b21(c((1b/b)-((b-)(0101(-00)c)/1--2/02(b(+)+ba(bbc+b0b12(-()b2)*()2+1c*c(a2--(-b)(b+ba0)/)2/)021a()c10*()0)(c0-0)c+(0)ac(ba1-c)**0b+(a2)1*b1(2)b))aa1)0a-(*0--(-1))(bb)-a-c**-()bc+//))a()c)/b)b-()a2(()a)(*c/1/2-c(*a1)*21(02c(((++((+1)c(b0b+c-b))2)a0a--)aa+110+a-+//ba+(1)/))(/()--00bcbca2*(a)0a1+//**b1a012(/*c(bc))2+((bccb2222*//+(--((0+-)+-+)+b2/bc-)b(+aa1/2a2c00--+0a)-2c/*1-(+bb(2))()(a(+(/(2//+*a1bb(+2+)-+(2(a(0*((c/1/bb(+))b)2(1/)c)a1**(cc)0//2+2122b1bcc0)b()a0-(0(+ac(b20abc)00)2/)a0b+)a)+0(1bc1*11+))(0c11a-c0)0/b0(20a1c2-2a0-*-1*a0c)()(2/-c2(*cc++a)1ba-0(2)*+)1-0)*(*2*0)01))a0-(c)+b+2c20(2*21/))1*/c)0+1b-()a2)1((-b/012)+2(c(1+(0aa*2a0c)+))/b2))a/-a)0(/0a/0*))0b21-)a)212*)b)()b11/2b0c*)/a2)0(ab*2a)c((a1(1/*/0*-b2/ca)1c/(a2)(--cb(-2)(+1*0ca0-(0/(c)/+0(0a(b)a*01/-(**2(-+/)2c-(11)aaa200/c+-/*2*(a)b())/12+/0)+(a)(c0a0-()/)1/2,incorrect
cb12-*+))01)--c1)1)a+0+b*b+ab(c*))++)210(a/*cc/))2cc/(-a*c(((0/)/a()(a()1c(c(a*a1*2+cb)b0))a(+c*0*010/))1b0b-a0+c0)00221/+0))-bc2+*01)c2)0*10(//acb/))*b)-1(a00((-a1*)(b)20a/))+*0-+0)((01(b(0/)/0()1b-(ccaa(1(*))1a(b)0ca0-(-c+c1)+cb(20c(1((2cba(1ac0)000*/c)-bb/-a/22a+(2cc/(+b/ba1c/b(2aaa)b-(bc/002bb-222)(cb1b2(a()ab1/(c)2*2ac-)a/-c2+())0*(1cb-1/0bc,incorrect
0210a2a+a02(c)b(bc)cca-aac1a(*-+()c0ba((2(1c)0)+(*)(c0)c/2b(a(1*0c)2*++/+1*//10b(c/-a(0b((c)2)1aa0()-1ba*b1222a0(-c*-cb20a/1(c/*12//bcb+/a(-(bbbc)ccab*1(a-0)//*+()(2*c1)*0*)-1b-1(()1c(-(21*(2+)++0a)a0b+2ba01bb*1cba()+2*+ab-0(c01-0a1-ccc(1(+(c/a-1*11(-*b*a(*(b1*+)2a2*c0)2b1(b+)((bb)b0((b(2/0((2+ac11c+/+c)ac(2201-a)(a2)(aa1/c01b2/ca0(-)b)001--*)0abb(++1/bb0b(*/a2)((/(//b10*(+*)*0a+a2+((b+*00(21c1((bb+a)))2)(a(-(a/12c10))b0/11c/+*b202/*-aa22)2)b0b/-/(0c0a+c2ac+a001))0c/(1b))a2)+c-((/b/a2a(/201+a-/2)+(a)ba10)()/b*(1*b(*c+c)bc)b)21(2aba*bb20c*2b1*2/))()c2*0-a2)cb1(b0+(1*1c-a2(1(-/)(-bb(1(1a(*02c(*1)((20*2/a*/-c0)-b+0b0-+b)(a(*1+1c/ab1(/)20)/121/-0)2b)c+c/a()1)(1/)))((2/a21a/0*0/(aa/-bc+a1(0-1)c*)20b)222baa()2ca2*1/02)111b/c22-1bc(+()/0)ba)((0a***(0)1)*2/ab)00aa**)01+(-b*+b+b++)+(c1()/(b0+00(0)c/)aa))a-((b111/1+)/2(ab-ac1+c+)+)-1cb11(20/b0((1-)0()0+1-(()+*/(/+)(-0-(2ccb*aa+1))c1*)1((02)/0)1(bac(0)02b-*1)++/(+(c+-)(0-))+2+b0)ba()b()2*a(ca+//*(0bc2-/++(+a1a0ba++a(+*(b2-10+*2(,incorrect
2a1a((2a)/(/222cc*(+(()0/c11/-*a)2)-a+-+2c+b1++/1)11ac12*(c(01a1((((c1*c/1*1*21c*-(ba-0+b*0(-2a*+babaa(c*1+0(2b/*1a2-0-ac*b)1/b0b)*(ac*2)2)))(/02+(bac)aaa+++1b0b*bcb(aa(b0cb-a+c)a1a*)a1**/c210220+)a0*))00(2c*(0)()c2(/2)/(0+(a+*+21)(b(c-b*()1(+c)b2a(c2a)00+)2-)(-1a)cc*)*2-00b)+b1)2cb(*2c+2ac**)(a)a)*)(12b/)-((*+*012ab/)+//0c-++*/+21(1cc1c+1)*0b(ab02()*2-*b22-)a2cb)))-)+(ccb(c*+)(0-)22)(b(1/c**0+b10)(bb0)2-)-(0-+1)22)c(1-0(-)0bb1+1*/-*a1)ab)ac(c*((221a((1)(c+(a)/1-**)00a0c+)+2()0-1bcac/221-b2)0**2a1-)1)(-)(*+bc)/))0++)-*2-))-)*(-+(2-1)2a+-a/a1a/2a---+)+0+-b12*cc*0bbb+1/2-)2(-/021cc)1ac1)/001+/+/)))c(0+cb()ca(2(c-)*b/1((--/,incorrect
(--c++c/(cca+1aa0a0+a2b1/1b+a)a)a(+-*b/2)b*a*((c)+1ba1*a/11-2)(a(1)-/(c)0122-c+c2(2)-2+*b)bc)/)))a0(b/c))a+(+0c+(+)1+2b)-1)/b2+1ca(2aa)(c/c**0c1)0121+*1+/a)0b(b(c202+a**ab0*)2(c(a-/)21(++)(2-1c1a)(1+b-2(*/(a/)b/01/(a)cc0-0(0c+10a-*1aa0b000(2cc)-cac+)1)0(*0a)/))b22+*/0(1/)+(10/12(b(+)/c)1ab++-)2+(()0))1b-(+0--)*aa(b)a*()0**b*)-0(-2c1(2aba+c22+*c))+)-c+22-)c11-a*01b-0bb22a(b/c)0)(ba+(20+((21)0))2/(1*c+/20/(/1c12*(*((b+c2((a*/0(a*(cb/-a(+(2(/*(,incorrect
c(1*a-0()c/c1(*)2-2-b0aa()1a010)ac1)c0)00a*((2+(1(*c(112bb/(a(-*0)-cc/*b0--0-0-c)0)2cb0(/2c1+1-22b-0*+-()/10+0-*1+)-ab/c00b())-0-b(012*+cb)1*2)((*10c10/*)//-0+*2122+1-2-220c2a-)/0aa0a2b02))0a1b)2++*c)cab1+)/1-ca1)(-2ba)-2(((1-*0**)*/+2+cc0b+(0aa01ab+)))(/a/)2/)2ac1)c0((*(ac(a*+-01)(*)a2(b)c**1-c)1(2)20/0bcc))b2b+b-c(2a20b*-+(12(*aab0c1211(-)0(0c00(01*c)/a(0b1-c1(()*(b2-0+c0++c(2a0c2((+cbc2a10+21(+))1(*/+a(2*1b1*11cb((0+ccb*(c)aa0)0-(02ab+20c2/02002)()a0cb0(++()/2++b+02ab/12()1*2*(a-(1)//--)1(c/bcaba-c0+/)-/)(c-1(+*)ba-0a--c/21/02*+b(102-/b+cc-a-bc*b-caabb)0(-)()1((b00111+)1b+a/+2/*(cc-*a22+a(*2*a+(*/c*ac)(a1/)-/2c1+)0)aa1a+1(2bc0(c)b()1/)c+b0c*b*01b+)(222(011)cbc00(1-c+++)-c0+02((/)-((bba01b1bbc((2)b1(22110c)(babbc(1(b/cab()2ba)b0a0*0)21c)c0)0)+/a02a2+-)bcb/(0--a)2+/ca*bb*))22-)a-(ca(0ba/*aa-c/+c1+1)-b))2cc11bcb/-bb00)a1b+a)/0cc+(+c1/(b-)1-1(1-(122c1)a)cca)1b/b(c*a)()0a))b)1))c()a((++(*a-(/(1c(*1(+1,incorrect
cbc))a*/a(2c2212*1*aa((22-0)21(1bc1-)a(-++(c(c(c1b1--*/+-2+*21/*a+/)())+(//0)a))b0b/()baa0)-b+-2c*c0-10b0((aa*/2)cbb-++(c(*c+1cb)2b0aa-)**0/**b*1//)()(ca-(c--ba0(b+)/+*+2((c2c*+b0()c)2+a/*(a()2)a*)))-2)11+/-1bb0a*c0c10--a-a1/(a*)ab)aa2)(*22/*)*/21(a0*)ca))+(c02-bb1+-b202b/ba+*-a0b))*(0b+)aa0)+0(202abb)20*b)/*2-)(1((1c)2)/1/0++(+-0111)110b))b+a01**2*21*+*ab1b22((b*(a(-a(0/b2)0(a1)2a)0a1)0*0/2*/c)*cc)-+11a)--22/-))/a(b1(-c1a0bc(b1/2a(10)1-)b2)b)b)(bc+c+21*0+b-)(0+)0(bccb-+),incorrect
2bacac+1))-()(c/2)(c/))/*/(aa+0),incorrect
+c(/c)1(c002+)b1b)1c)(abb))a11)2(ba)+(b(+)b0/+2c*10*b2c((22a/(/2+(c(c))a)b*+b/)2+20100(ac-(cbba0))(*/1*(2)c+c)c(2ab21)211(b*(c(+2)a11a+)bb(*0b+c+0cac)c0*1))*+/0b0(a2)00-0-bca/)2cc(/+1)a/(()aab(2-*b)/a(*-+a0(c/1))(/1c(c(b)1/(aa0-b)c)*)(a,incorrect
